language,stopword
Tamil,பற்றி
Tamil,வரும்
Tamil,வேறு
Tamil,இரு
Tamil,இதில்
Tamil,போல்
Tamil,இப்போது
Tamil,அவரது
Tamil,மட்டும்
Tamil,இந்தப்
Tamil,எனும்
Tamil,மேல்
Tamil,பின்
Tamil,சேர்ந்த
Tamil,ஆகியோர்
Tamil,எனக்கு
Tamil,இன்னும்
Tamil,அந்தப்
Tamil,அன்று
Tamil,ஒரே
Tamil,மிக
Tamil,அங்கு
Tamil,பல்வேறு
Tamil,விட்டு
Tamil,பெரும்
Tamil,அதை
Tamil,பற்றிய
Tamil,உன்
Tamil,அதிக
Tamil,அந்தக்
Tamil,பேர்
Tamil,இதனால்
Tamil,அவை
Tamil,அதே
Tamil,ஏன்
Tamil,முறை
Tamil,யார்
Tamil,என்பதை
Tamil,எல்லாம்
Tamil,மட்டுமே
Tamil,இங்கே
Tamil,அங்கே
Tamil,இடம்
Tamil,இடத்தில்
Tamil,அதில்
Tamil,நாம்
Tamil,அதற்கு
Tamil,எனவே
Tamil,பிற
Tamil,சிறு
Tamil,மற்ற
Tamil,விட
Tamilஎந்த
Tamil,எனவும்
Tamil,எனப்படும்
Tamil,எனினும்
Tamil,அடுத்த
Tamil,இதனை
Tamil,இதை
Tamil,கொள்ள
Tamil,இந்தத்
Tamil,இதற்கு
Tamil,அதனால்
Tamil,தவிர
Tamil,போல
Tamil,வரையில்
Tamil,சற்று
Tamil,எனக்
Tamil,ஹலோ 
